ru,en
человек,person
год,year
время,time
рука,hand
стать,figure
дело,business
раз,time
глаз,eye
день,day
жизнь,life
тут,mulberry fruit
голова,head
друг,friend
дом,house
слово,word
место,place
лицо,face
сторона,side
нога,leg
работа,work
дверь,door
конец,end
город,town
голос,voice
час,hour
уж,grass snake
земля,earth
сила,power
вода,water
случай,case
стол,table
машина,car
мир,world
ночь,night
женщина,woman
ребёнок,child
вид,appearance
отец,father
вопрос,question
ряд,row
страна,country
война,war
минута,minute
товарищ,comrade
правда,truth
часть,part
дорога,road
свет,light
жена,wife
окно,window
Россия,Russia
мать,mother
Москва,Moscow
улица,street
комната,room
утро,morning
вечер,evening
душа,soul
книга,book
плечо,shoulder
пол,floor
народ,people
взгляд,look
история,history
бог,God
палец,finger
имя,name
мысль,thought
разговор,conversation
право,right
лес,wood
пять,five
сын,son
путь,way
тысяча,a thousand
пора,time
стена,wall
спина,back
месяц,month
тело,body
язык,language
мама,mom
старик,old man
смерть,death
власть,power
мальчик,boy
образ,shape
письмо,letter
отношение,relation
сердце,heart
начальник,boss
девушка,girl
солдат,soldier
небо,sky
система,system
воздух,air
ребята,lads
брат,brother
квартира,flat
генерал,general
кровь,blood
шаг,step
хозяин,master
внимание,attention
школа,school
труд,difficulty
капитан,captain
парень,boy
группа,group
солнце,sun
любовь,love
ухо,ear
неделя,week
ответ,answer
берег,bank
помощь,help
мужчина,man
момент,moment
газета,newspaper
чувство,feeling
порядок,In order
семья,family
армия,army
возможность,possibility
движение,movement
муж,husband
нос,nose
огонь,fire
двор,courtyard
угол,corner
смысл,sense
общество,society
грудь,breast
дерево,tree
немец,German
губа,lip
снег,snow
дядя,uncle
очередь,queue
форма,form
закон,law
собака,dog
состояние,condition
сон,dream
карман,pocket
девочка,girl
камень,stone
ветер,wind
проблема,problem
связь,connection
гость,visitor
зуб,tooth
мера,measure
век,century
номер,number
средство,way
действие,action
ход,motion
государство,State
глава,head
партия,party
край,border
река,river
судьба,fate
рота,company
речь,speech
причина,reason
гора,mountain
страх,fear
море,sea
зал,hall
врач,physician
командир,commander
боль,pain
господин,gentleman
вещь,thing
результат,result
число,number
цель,aim
положение,position
писатель,writer
бумага,paper
план,plan
черта,line
документ,document
волос,hair
пара,couple (human)
след,track
решение,decision
класс,class
условие,condition
центр,center
встреча,meeting
директор,director
рубль,rouble (Russian currency)
служба,service
процесс,process
президент,president
память,memory
герой,hero
дух,spirit
враг,enemy
счастье,happiness
удар,blow /kick  stroke
самолёт,aircraft
деревня,village
картина,picture
будущее,the future
коридор,corridor
ум,mind
кабинет,office
колено,knee
бутылка,bottle
телефон,telephone
компания,company
доктор,doctor of Philosophy
автор,author
мужик,guy
интерес,interest
счёт,bill
лейтенант,lieutenant
оружие,weapon
игра,play
бой,beating
качество,quality
член,member
хлеб,bread
развитие,development
банк,bank
совет,advice
трубка,tube
ладонь,palm (of the hand)
институт,institute
правительство,government
идея,idea
точка,dot
уровень,level
профессор,professor
наука,science
событие,event
союз,union
король,king
половина,half
метр,metre
вера,faith
область,oblast
ситуация,situation
кухня,kitchen
надежда,hope
род,generation
офицер,officer
течение,current
информация,information
граница,abroad
слеза,tear
рассказ,story
трава,grass
тридцать,thirty
борьба,struggle
шея,neck
десяток,dozen
толпа,crowd
родитель,parent
правило,rule
секунда,second
программа,program
фамилия,last name
звук,sound
роман,novel
чай,tea
роль,role
сознание,consciousness
команда,team
магазин,shop
ворот,collar (of a shirt)
полковник,colonel
природа,nature
запах,smell
поэт,poet
район,region
лист,leaf
стекло,glass
количество,quantity
этаж,floor
тип,type
свобода,freedom
сапог,boot
суд,law-court
выход,exit
дед,grandfather
лоб,forehead
кресло,armchair
дочь,daughter
характер,character
опыт,experience
площадь,area (geometry)
управление,administration
мнение,opinion
революция,revolution
улыбка,smile
рост,growth (in a living organism)
лошадь,horse
кожа,skin
звезда,star
поезд,train
сестра,sister
баба,woman
цветок,flower
дождь,rain
желание,wishes
болезнь,illness
сосед,neighbour
пример,example
дама,lady
орган,organ
поле,field
ящик,box
цена,price
ах,
карта,map
слава,glory
радость,gladness
тень,shadow
операция,operation
музыка,music
завод,factory
лето,summer
станция,station
повод,reason
воля,will
литература,literature
дурак,fool
приказ,order
гражданин,citizen
крыша,roof
цвет,color
статья,article
круг,circle
факт,fact
бок,side
стул,chair
лагерь,camp
войско,army
удовольствие,pleasure
вино,wine
возраст,age
лестница,stairs
министр,Minister
фронт,front
Петербург,St Petersburg
сад,garden
задача,task
мол,(s)he sayss
темнота,dark
название,name
большинство,most of the
организация,organization
дым,smoke
километр,kilometre
председатель,chairman
прочее,other
доллар,dollar
выражение,expression
танк,tank
зима,winter
знак,sign
мозг,brain
учитель,teacher
майор,major
тишина,silence
кровать,bed
деятельность,activity
США,United States of America (USA)
рыба,fish
щека,cheek
птица,bird
папа,dad
водка,vodka
здание,building
зеркало,looking-glass
искусство,art
начало,beginning
вагон,carriage
автомат,automatic machine
милиция,militia
срок,deadline
одежда,clothes
корабль,ship
кулак,fist
художник,artist
курс,course
куст,bush
состав,composition
чудо,miracle
кусок,piece
фирма,firm
миллион,million
пространство,space
тема,subject
линия,line
мешок,bag
