ru,en
и,and
в,in
не,not
он,he
на,on (place)
я,I
что,what
с,with
а,and
это,this is
она,she
по,along
но,but
они,they
к,towards
у,(possession)
из,from
мы,we
за,behind
ты,you
вы,you (plural)
так,so
же,and
от,from (away)
о,about
один,one
ещё,still
бы,would
только,only
себя,ourselves
для,for
уже,already
когда,when
кто,who
вот,there
да,yes
если,if
до,to (direction)
или,or
нет,no
ни,neither
даже,even
под,under
где,where
чтобы,so that
ну,well
два,two
чём,Prepositional of 'что'
там,there
ничто,nothing
потом,afterwards
очень,very
ли,whether
при,at
надо,it is necessary
без,without
теперь,now
сейчас,now
тоже,also
после,after
можно,one can
через,across
здесь,here
тогда,then
ведь,you know
почему,why
потому,because
просто,it is simple
об,about
вдруг,suddenly
никто,nobody
перед,in front of +instrumental case
над,above
конечно,certainly
три,three
несколько,some
пока,bye (informal)
более,more
хорошо,it is good
хотя,though
всегда,always
куда,wherever
сразу,immediately
совсем,completely
почти,almost
снова,again
между,between
много,a lot of
лишь,only
опять,again
однако,however
про,about
никогда,never
будто,as if
именно,exactly
вообще,in general
сегодня,today
вместе,together
таки,indeed
чуть,nearly
сколько,how much
хоть,though
зачем,what for
словно,as if
наконец,finally
назад,ago
быстро,fast
давно,long ago
прямо,straight
долго,a long time
нельзя,can't
оно,it
кроме,except
ж,then
совершенно,totally
поэтому,so
точно,exact
среди,among
также,also
ко,to
вокруг,around
иногда,sometimes
затем,then
оба,both
откуда,from where
четыре,four
особенно,especially
вроде,sort of
например,for example
туда,there
действительно,really
мало,little
равно,is indifferent
сюда,here
слишком,too (much)
чтоб,to
десять,ten
двадцать,twenty
видно,evidently
против,against
немного,a little
разве,perhaps
впрочем,however
тихо,quietly
наверное,Probably
либо,or
домой,homeward
ладно,well
часто,often
сначала,firstly
вперёд,forward
вполне,quite
никак,in no way
едва,hardly
возле,near
довольно,quite
медленно,slowly
ясно,clearly
вчера,yesterday
далеко,far
около,by
завтра,tomorrow
плохо,it is bad
обычно,usually
иначе,otherwise
скоро,quickly
прежде,before
однажды,one day
сквозь,through
мимо,past
возможно,it is possible
кстати,by the way
вместо,instead of
трудно,difficult
менее,less
легко,easy
сто,hundred
вниз,down
вовсе,At all
двое,two
спокойно,quietly
достаточно,it is enough
столько,so much
молча,silently
видимо,apparently
сорок,forty
поскольку,since
шесть,six
неожиданно,unexpectedly
вон,out
спасибо,thanks
впервые,for the first time
сильно,strongly
вновь,again
впереди,in front
пожалуйста,please
нечего,nothing
зато,but
весьма,extremely / very
ибо,for
правильно,right
интересно,it is interesting
